Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,23,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,33,1296,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,61,1796,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,47,1985,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,31,1998,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Offside,Male,51,1390,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,41,1390,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,22,1242,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,23,1995,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,19,1360,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,58,1248,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Front,Male,39,1910,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Front,Male,49,1968,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Male,51,1794,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,31,1590,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Back,Female,40,1388,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Male,27,1248,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,36,2148,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,58,2198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,38,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,47,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,53,1991,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,33,1589,Severe
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,21,1796,Severe
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,21,1332,Severe
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Front,Male,55,1329,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,30,2967,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,64,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,62,1248,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,81,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Front,Female,21,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,32,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,55,2151,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,27,1968,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,46,1797,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,46,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,25,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,26,1388,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,40,2295,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,23,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Reversing,Back,Male,51,1991,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,21,1399,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,44,2148,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,37,1686,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,24,1388,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Reversing,Back,Female,30,1596,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,34,1798,Light
2,Roundabout,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1198,Severe
2,Roundabout,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Female,50,1360,Severe
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Parked,Front,Male,22,1389,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Front,Male,84,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Offside,Male,52,1493,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Female,23,1149,Severe
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,34,1995,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Offside,Female,53,3456,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1900,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,62,1951,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,32,1956,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,32,1242,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,66,1995,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,52,8300,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,66,1999,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,77,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Nearside,Male,78,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,23,2496,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Female,45,2902,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Female,74,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Nearside,Male,44,2198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,54,1753,Light
2,Single carriageway,20,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,51,1995,Light
2,Single carriageway,20,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Female,48,1248,Light
4,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,20,1149,Light
4,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,28,1998,Light
4,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,47,1968,Light
4,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,38,1364,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,65,1332,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,61,1400,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Parked,Offside,Male,30,2300,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Front,Male,19,1896,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,47,2149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,35,1560,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1390,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Back,Male,43,1596,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,44,1461,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,26,1596,Light
2,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Going ahead,Nearside,Male,41,1587,Light
2,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Parked,Offside,Female,53,2000,Light
2,Roundabout,40,Daylight,Raining no high winds,Wet or damp,Rural,Moving off,Offside,Male,32,1896,Light
2,Roundabout,40,Daylight,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Male,41,1137,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Male,56,1997,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Going ahead,Offside,Male,38,1598,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,51,3982,Light
2,Dual carriageway,70,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,67,1461,Light
2,Dual carriageway,70,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,43,1388,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,31,1686,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,29,1587,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,48,1956,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,34,1598,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,55,1968,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,39,1388,Light
2,Roundabout,40,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Female,38,1984,Light
2,Roundabout,40,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Back,Male,50,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,40,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,33,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,27,1299,Severe
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,19,1124,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Female,21,1198,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,4461,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,39,1587,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,63,1995,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Rural,Slowing or stopping,Front,Male,75,1242,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Male,48,1560,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Offside,Male,55,1868,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,40,1910,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,37,1995,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,28,1108,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,21,1910,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,55,1598,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Offside,Female,50,1896,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,24,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,54,1589,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,50,1598,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,35,1388,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,53,1995,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,55,1332,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Female,37,1560,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,21,1388,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,37,1461,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,24,1195,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,32,1242,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,33,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Offside,Female,33,1360,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Male,31,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,26,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,22,1198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,21,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,30,1560,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,30,1390,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,28,1994,Severe
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Front,Female,20,1149,Severe
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,59,1240,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,64,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Offside,Male,40,1975,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,38,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,20,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,54,2500,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,23,1198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Offside,Male,50,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,50,1769,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Moving off,Offside,Female,32,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,31,1360,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Changing lane,Front,Female,24,1368,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Overtaking,Front,Female,22,1956,Light
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,24,1910,Severe
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,51,2720,Severe
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,56,1956,Severe
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,72,1560,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,34,1364,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,57,1998,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,38,1998,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Offside,Male,24,1595,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1400,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,68,1999,Light
2,Single carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Rural,Turning,Nearside,Male,48,2199,Light
2,Single carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Male,18,1300,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,25,1984,Light
4,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Going ahead,Front,Male,19,1796,Light
4,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Going ahead,Nearside,Male,71,1368,Light
